Pos,LW,"Title, Artist",PeakPos,WoC
1,3,ONE KISS  CALVIN HARRIS & DUA LIPA  COLUMBIA/WARNER BROS,1.0,2.0
2,1,NICE FOR WHAT  DRAKE  CASH MONEY/REPUBLIC RECORDS,1.0,2.0
3,2,FREAKY FRIDAY  LIL DICKY FT CHRIS BROWN  BMG/COMMISSION,1.0,5.0
4,5,PARADISE  GEORGE EZRA  COLUMBIA,2.0,13.0
5,4,THESE DAYS  RUDIMENTAL/GLYNNE/MACKLEMORE  ASYLUM,1.0,13.0
6,6,FRIENDS  MARSHMELLO & ANNE-MARIE  ASYLUM/ATLANTIC,4.0,10.0
7,9,LULLABY  SIGALA & PALOMA FAITH  MINISTRY OF SOUND,7.0,8.0
8,8,FEEL IT STILL  PORTUGAL THE MAN  ATLANTIC,3.0,38.0
9,10,PSYCHO  POST MALONE FT TY DOLLA SIGN  REPUBLIC RECORDS,4.0,8.0
10,7,THIS IS ME  SETTLE/GREATEST SHOWMAN ENS  ATLANTIC,3.0,16.0
11,11,MEANT TO BE  BEBE REXHA FT FLORIDA GEORGIA  PARLOPHONE,11.0,12.0
12,12,THE MIDDLE  ZEDD/MAREN MORRIS/GREY  INTERSCOPE,7.0,12.0
13,15,SAY SOMETHING  JUSTIN TIMBERLAKE FT STAPLETON  RCA,9.0,12.0
14,13,JUMANJI  B YOUNG  GAME TIME,13.0,15.0
15,17,CALL OUT MY NAME  WEEKND  REPUBLIC RECORDS/XO,7.0,3.0
16,18,LOVE LIES  KHALID & NORMANI  RCA,16.0,9.0
17,16,GOD'S PLAN  DRAKE  CASH MONEY/REPUBLIC RECORDS,1.0,13.0
18,25,ANSWERPHONE  BANX & RANX/ELLA EYRE/BANE  PARLOPHONE,18.0,5.0
19,19,IN MY BLOOD  SHAWN MENDES  EMI,13.0,4.0
20,New,LET ME  ZAYN  RCA,20.0,1.0
21,20,LOOK ALIVE  BLOCBOY JB FT DRAKE  WARNER BROS,17.0,10.0
22,23,BAD VIBE  M O/LOTTO BOYZZ/MR EAZI  OPERATOR,22.0,12.0
23,40,I LIKE IT  CARDI B/BAD BUNNY/J BALVIN  ATLANTIC,23.0,2.0
24,27,BE CAREFUL  CARDI B  ATLANTIC,24.0,3.0
25,39,MAD LOVE  SEAN PAUL/GUETTA/BECKY G  ISLAND,25.0,9.0
26,New,CHUN-LI  NICKI MINAJ  CASH MONEY/REPUBLIC RECORDS,26.0,1.0
27,22,BREATHE  JAX JONES FT INA WROLDSEN  POLYDOR,7.0,20.0
28,21,IDGAF  DUA LIPA  WARNER BROS,3.0,16.0
29,24,SAD  XXXTENTACION  CAROLINE,19.0,7.0
30,55,GERMAN  EO  COLUMBIA,30.0,2.0
31,New,BARBIE TINGZ  NICKI MINAJ  CASH MONEY/REPUBLIC RECORDS,31.0,1.0
32,36,VROOM  YXNG BANE  DISTURBING LONDON,32.0,5.0
33,26,A MILLION DREAMS  ZIV ZAIFMAN/JACKMAN/WILLIAMS  ATLANTIC,22.0,6.0
34,31,WHAT I WANNA  MOSTACK  VIRGIN,31.0,7.0
35,29,SANCTIFY  YEARS & YEARS  POLYDOR,25.0,6.0
36,28,NEVER ENOUGH  LOREN ALLRED  ATLANTIC,24.0,6.0
37,56,FLAMES  DAVID GUETTA FT SIA  PARLOPHONE,37.0,4.0
38,33,PERFECT  ED SHEERAN  ASYLUM,1.0,49.0
39,34,ALL THE STARS  KENDRICK LAMAR & SZA  INTERSCOPE,5.0,15.0
40,65,LIKE I DO  GUETTA/GARRIX/BROOKS  PARLOPHONE,40.0,7.0
41,52,WALK IT TALK IT  MIGOS FT DRAKE  MOTOWN/QUALITY CONTROL,31.0,10.0
42,35,FINE LINE  MABEL FT NOT3S  POLYDOR,11.0,13.0
43,43,NEW RULES  DUA LIPA  WARNER BROS,1.0,41.0
44,30,WASTED TIMES  WEEKND  REPUBLIC RECORDS/XO,18.0,3.0
45,50,DELICATE  TAYLOR SWIFT  EMI,45.0,5.0
46,37,I SEE YOU SHINING  NINES  XL RECORDINGS,37.0,2.0
47,59,MAKE YOUR OWN KIND OF MUSIC  PALOMA FAITH  RCA,47.0,2.0
48,49,CIGARETTE  RAYE/MABEL/STEFFLON DON  POLYDOR,41.0,8.0
49,42,HAVANA  CAMILA CABELLO FT YOUNG THUG  EPIC/SYCO MUSIC,1.0,37.0
50,51,DONE FOR ME  CHARLIE PUTH FT KEHLANI  ATLANTIC,45.0,5.0
51,54,SHOTGUN  GEORGE EZRA  COLUMBIA,35.0,4.0
52,45,TIP TOE  JASON DERULO FT FRENCH MONTANA  WARNER BROS,5.0,23.0
53,46,LET ME GO  HAILEE STEINFELD/ALESSO/WATT  REPUBLIC RECORDS,30.0,26.0
54,53,PLUG WALK  RICH THE KID  INTERSCOPE,53.0,5.0
55,47,STRANGERS  SIGRID  ISLAND,10.0,15.0
56,63,MIND ON IT  YUNGEN FT JESS GLYNNE  ATLANTIC/RCA,47.0,5.0
57,58,SHAPE OF YOU  ED SHEERAN  ASYLUM,1.0,67.0
58,41,DRIP  CARDI B FT MIGOS  ATLANTIC,41.0,2.0
59,44,NEVER BE THE SAME  CAMILA CABELLO  EPIC/SYCO MUSIC,7.0,19.0
60,48,BLINDED BY YOUR GRACE - PT 2  STORMZY FT MNEK  MERKY,7.0,28.0
61,73,MAN DOWN  SHAKKA FT ALUNAGEORGE  PARLOPHONE,61.0,5.0
62,80,FIRST TIME  M-22 FT MEDINA  3 BEAT,62.0,6.0
63,70,YOU ARE THE REASON  CALUM SCOTT  CAPITOL,43.0,11.0
64,60,RAPPER  HARDY CAPRIO  VIRGIN,34.0,8.0
65,New,NEVERMIND  DENNIS LLOYD  WM ITALY,65.0,1.0
66,71,SIT BACK DOWN  NOT3S FT MALEEK BERRY  RELENTLESS,66.0,6.0
67,62,RIVER  EMINEM FT ED SHEERAN  INTERSCOPE,1.0,18.0
68,68,ROCKSTAR  POST MALONE FT 21 SAVAGE  REPUBLIC RECORDS,1.0,31.0
69,Re,TRY ME  WEEKND  REPUBLIC RECORDS/XO,17.0,2.0
70,57,FINESSE  BRUNO MARS & CARDI B  ATLANTIC,5.0,15.0
71,New,YOUNGBLOOD  5 SECONDS OF SUMMER  CAPITOL,71.0,1.0
72,61,BARKING  RAMZ  POLYDOR,2.0,20.0
73,38,DANCING  KYLIE MINOGUE  BMG,38.0,7.0
74,67,MINE  BAZZI  ZZZ ENTERTAINMENT,21.0,11.0
75,69,I MISS YOU  CLEAN BANDIT FT JULIA MICHAELS  ATLANTIC/POLYDOR/REPUBLIC,4.0,25.0
76,74,MIMI  AJ TRACEY  AJ TRACEY,51.0,4.0
77,66,FOR YOU (FIFTY SHADES FREED)  LIAM PAYNE/RITA ORA  CAPITOL,8.0,15.0
78,76,CAME HERE FOR LOVE  SIGALA & ELLA EYRE  MINISTRY OF SOUND,6.0,41.0
79,64,MY LOVER  NOT3S  RELENTLESS,14.0,25.0
80,77,CHECK  KOJO FUNDS FT RAYE  ATLANTIC,26.0,11.0
81,New,SKY FULL OF SONG  FLORENCE & THE MACHINE  EMI,81.0,1.0
82,72,ANYWHERE  RITA ORA  ATLANTIC,2.0,26.0
83,86,DESPACITO (REMIX)  LUIS FONSI/DADDY YANKEE/BIEBER  DEF JAM/RBMG/REPUBLIC/UMLE,1.0,53.0
84,79,MOONLIGHT  XXXTENTACION  BAD VIBES FOREVER,31.0,5.0
85,99,REMIND ME TO FORGET  KYGO FT MIGUEL  COLUMBIA,69.0,5.0
86,98,NO ROOTS  ALICE MERTON  PAPER PLANE,86.0,2.0
87,85,I FALL APART  POST MALONE  REPUBLIC RECORDS,19.0,30.0
88,88,RIC FLAIR DRIP  OFFSET & METRO BOOMIN  CAPITOL/COLUMBIA/REPUBLIC,67.0,14.0
89,New,FORREST GUMP  LOSKI  SINCE '93 USE MUSIC,89.0,1.0
90,87,SAY AMEN (SATURDAY NIGHT)  PANIC AT THE DISCO  DCD2/FUELED BY RAMEN,48.0,4.0
91,Re,PRETTY SHINING PEOPLE  GEORGE EZRA  COLUMBIA,54.0,3.0
92,New,GUATEMALA  SWAE LEE/SLIM JXMMI  INTERSCOPE,92.0,1.0
93,New,ESSKEETIT  LIL PUMP  WARNER BROS,93.0,1.0
94,90,LOCATION  KHALID  RIGHT HAND MUSIC,67.0,8.0
95,75,WANT YOU BACK  5 SECONDS OF SUMMER  CAPITOL,22.0,8.0
96,New,GOTTI  6IX9INE  VIRGIN,96.0,1.0
